feature,importance
employee_experience_count_missing,0.41776454220065207
employee_connections_count_missing,0.23829340943179922
employee_recommendations_count_missing,0.23665334118202885
company_match_score,0.04971513025925353
company_followers_missing,0.02214876466457504
company_founded_missing,0.018306819573021504
company_employees_missing,0.01176966703888055
company_company_specialties_collection_count_missing,0.0028437963958296247
employee_connections_count,0.002352669746950695
cs_company_employees_count_missing,0.0001518595070089655
